Date,Zone_Name,Specific_Humidity_10m,Air_Temperature_2m,Eastward_Wind_10m,Northward_Wind_10m,Precipitation_mm
2017-01-01,Greater Hyderabad Municipal Corporation Central Zone,0.007663176453206633,20.864690399169938,-4.095101872086525,6.032706373929978,0.0
2017-01-01,Greater Hyderabad Municipal Corporation East Zone,0.00764620553430475,20.864623172041327,-4.035985276362171,6.143598441714826,0.0
2017-01-01,Greater Hyderabad Municipal Corporation North Zone,0.0076038077482700256,20.86445522112294,-3.8882965866033197,6.420635777764383,0.0
2017-01-01,Greater Hyderabad Municipal Corporation South Zone,0.007663176453206633,20.864690399169938,-4.095101872086525,6.032706373929978,0.0
2017-01-01,Greater Hyderabad Municipal Corporation West Zone,0.007610030680856008,20.86447987210927,-3.9099735854760462,6.379973638835161,0.0
2017-01-02,Greater Hyderabad Municipal Corporation Central Zone,0.007799475589611828,21.624963378906266,-3.1879296004772186,0.43036364614963535,0.0
2017-01-02,Greater Hyderabad Municipal Corporation East Zone,0.007728965886348838,21.6316860917686,-2.936640342908061,0.29203164870648307,0.0
2017-01-02,Greater Hyderabad Municipal Corporation North Zone,0.007552814239546437,21.64848118360523,-2.3088541731172723,-0.053557795404337284,0.0
2017-01-02,Greater Hyderabad Municipal Corporation South Zone,0.007799475589611828,21.624963378906266,-3.1879296004772186,0.43036364614963535,0.0
2017-01-02,Greater Hyderabad Municipal Corporation West Zone,0.00757866888728825,21.646016084975123,-2.4009974517738044,-0.002833924790763241,0.0
2017-01-03,Greater Hyderabad Municipal Corporation Central Zone,0.006203353967672787,19.64549153645835,-2.344146654009819,-10.749279499053955,0.0
2017-01-03,Greater Hyderabad Municipal Corporation East Zone,0.006121864052239645,19.490062415081553,-2.357782954884612,-10.685417088218358,0.0
2017-01-03,Greater Hyderabad Municipal Corporation North Zone,0.00591828096881927,19.101759891818112,-2.3918499945150073,-10.525872113316069,0.0
2017-01-03,Greater Hyderabad Municipal Corporation South Zone,0.006203353967672787,19.64549153645835,-2.344146654009819,-10.749279499053955,0.0
2017-01-03,Greater Hyderabad Municipal Corporation West Zone,0.0059481618640795375,19.15875297214678,-2.3868498067493022,-10.549289317753004,0.0
2017-01-04,Greater Hyderabad Municipal Corporation Central Zone,0.005408080255923125,19.157985941569027,-3.4881903044879436,-9.760116237401963,0.0
2017-01-04,Greater Hyderabad Municipal Corporation East Zone,0.005434734761998333,19.05815365556362,-3.571748793416697,-9.440773934708991,0.0
2017-01-04,Greater Hyderabad Municipal Corporation North Zone,0.005501324676897571,18.80874654178929,-3.7804997134740392,-8.642973491510105,0.0
2017-01-04,Greater Hyderabad Municipal Corporation South Zone,0.005408080255923125,19.157985941569027,-3.4881903044879436,-9.760116237401963,0.0
2017-01-04,Greater Hyderabad Municipal Corporation West Zone,0.005491550946000742,18.845353256446757,-3.7498603092911456,-8.760070605284493,0.0
2017-01-05,Greater Hyderabad Municipal Corporation Central Zone,0.005015456505740646,19.45198465983075,-5.598191499710083,-8.634939587116243,0.0
2017-01-05,Greater Hyderabad Municipal Corporation East Zone,0.0050542401251099205,19.407345846424974,-5.761976953174757,-8.25636684777944,0.0
2017-01-05,Greater Hyderabad Municipal Corporation North Zone,0.005151131731579666,19.295826436629554,-6.17115577559114,-7.310593310484277,0.0
2017-01-05,Greater Hyderabad Municipal Corporation South Zone,0.005015456505740646,19.45198465983075,-5.598191499710083,-8.634939587116243,0.0
2017-01-05,Greater Hyderabad Municipal Corporation West Zone,0.005136910471660242,19.312194691533662,-6.1110985776652464,-7.449409166561521,0.0
2017-01-06,Greater Hyderabad Municipal Corporation Central Zone,0.005444295432728971,20.188419596354187,-6.823914822936057,0.5855871453881264,0.0
2017-01-06,Greater Hyderabad Municipal Corporation East Zone,0.005412635000328059,20.155411076200217,-6.762907469758521,1.0330012210685273,0.0
2017-01-06,Greater Hyderabad Municipal Corporation North Zone,0.005333538974564133,20.07294717528223,-6.610495174259341,2.1507583890389244,0.0
2017-01-06,Greater Hyderabad Municipal Corporation South Zone,0.005444295432728971,20.188419596354187,-6.823914822936057,0.5855871453881264,0.0
2017-01-06,Greater Hyderabad Municipal Corporation West Zone,0.005345148289157704,20.0850508095562,-6.632865480090613,1.9866996455451718,0.0
2017-01-07,Greater Hyderabad Municipal Corporation Central Zone,0.008125213673338245,20.833373006184914,-2.2163699895143507,9.165583688020707,0.0
2017-01-07,Greater Hyderabad Municipal Corporation East Zone,0.007988297477097913,20.831356192326247,-1.8526773592052252,9.433285471861778,0.0
2017-01-07,Greater Hyderabad Municipal Corporation North Zone,0.0076462450740166455,20.826317664775196,-0.9440782190288216,10.102074417117407,0.0
2017-01-07,Greater Hyderabad Municipal Corporation South Zone,0.008125213673338245,20.833373006184914,-2.2163699895143507,9.165583688020707,0.0
2017-01-07,Greater Hyderabad Municipal Corporation West Zone,0.00769644979563827,20.82705719436428,-1.077437805125247,10.003912958470375,0.0
2017-01-08,Greater Hyderabad Municipal Corporation Central Zone,0.009149500925559497,21.532773590087906,-5.8427335023880005,9.26650155633688,0.0
2017-01-08,Greater Hyderabad Municipal Corporation East Zone,0.009041635526902583,21.54467279185423,-5.556407698454417,9.516581418932134,0.0
